"abbr","state","year","avg_temp","latitude","longitude"
"AL","Alabama","1900",62.71,32.6010112,-86.6807365
"AL","Alabama","1901",60.66,32.6010112,-86.6807365
"AL","Alabama","1902",62.75,32.6010112,-86.6807365
"AL","Alabama","1903",61.26,32.6010112,-86.6807365
"AL","Alabama","1904",62.05,32.6010112,-86.6807365
"AL","Alabama","1905",61.93,32.6010112,-86.6807365
"AL","Alabama","1906",62.59,32.6010112,-86.6807365
"AL","Alabama","1907",63.21,32.6010112,-86.6807365
"AL","Alabama","1908",63.50,32.6010112,-86.6807365
"AL","Alabama","1909",63.14,32.6010112,-86.6807365
"AL","Alabama","1910",62.09,32.6010112,-86.6807365
"AL","Alabama","1911",64.79,32.6010112,-86.6807365
"AL","Alabama","1912",61.61,32.6010112,-86.6807365
"AL","Alabama","1913",63.03,32.6010112,-86.6807365
"AL","Alabama","1914",62.25,32.6010112,-86.6807365
"AL","Alabama","1915",62.73,32.6010112,-86.6807365
"AL","Alabama","1916",62.90,32.6010112,-86.6807365
"AL","Alabama","1917",61.16,32.6010112,-86.6807365
"AL","Alabama","1918",63.11,32.6010112,-86.6807365
"AL","Alabama","1919",63.48,32.6010112,-86.6807365
"AL","Alabama","1920",61.73,32.6010112,-86.6807365
"AL","Alabama","1921",65.12,32.6010112,-86.6807365
"AL","Alabama","1922",64.53,32.6010112,-86.6807365
"AL","Alabama","1923",62.88,32.6010112,-86.6807365
"AL","Alabama","1924",61.56,32.6010112,-86.6807365
"AL","Alabama","1925",64.32,32.6010112,-86.6807365
"AL","Alabama","1926",62.34,32.6010112,-86.6807365
"AL","Alabama","1927",64.91,32.6010112,-86.6807365
"AL","Alabama","1928",61.96,32.6010112,-86.6807365
"AL","Alabama","1929",62.81,32.6010112,-86.6807365
"AL","Alabama","1930",62.78,32.6010112,-86.6807365
"AL","Alabama","1931",63.70,32.6010112,-86.6807365
"AL","Alabama","1932",63.75,32.6010112,-86.6807365
"AL","Alabama","1933",64.75,32.6010112,-86.6807365
"AL","Alabama","1934",63.21,32.6010112,-86.6807365
"AL","Alabama","1935",63.29,32.6010112,-86.6807365
"AL","Alabama","1936",63.46,32.6010112,-86.6807365
"AL","Alabama","1937",63.04,32.6010112,-86.6807365
"AL","Alabama","1938",64.33,32.6010112,-86.6807365
"AL","Alabama","1939",63.82,32.6010112,-86.6807365
"AL","Alabama","1940",61.11,32.6010112,-86.6807365
"AL","Alabama","1941",63.56,32.6010112,-86.6807365
"AL","Alabama","1942",62.48,32.6010112,-86.6807365
"AL","Alabama","1943",63.14,32.6010112,-86.6807365
"AL","Alabama","1944",63.50,32.6010112,-86.6807365
"AL","Alabama","1945",63.72,32.6010112,-86.6807365
"AL","Alabama","1946",64.07,32.6010112,-86.6807365
"AL","Alabama","1947",62.57,32.6010112,-86.6807365
"AL","Alabama","1948",63.53,32.6010112,-86.6807365
"AL","Alabama","1949",64.43,32.6010112,-86.6807365
"AL","Alabama","1950",63.31,32.6010112,-86.6807365
"AL","Alabama","1951",63.85,32.6010112,-86.6807365
"AL","Alabama","1952",63.61,32.6010112,-86.6807365
"AL","Alabama","1953",63.99,32.6010112,-86.6807365
"AL","Alabama","1954",64.39,32.6010112,-86.6807365
"AL","Alabama","1955",63.70,32.6010112,-86.6807365
"AL","Alabama","1956",63.89,32.6010112,-86.6807365
"AL","Alabama","1957",64.23,32.6010112,-86.6807365
"AL","Alabama","1958",61.59,32.6010112,-86.6807365
"AL","Alabama","1959",63.29,32.6010112,-86.6807365
"AL","Alabama","1960",61.90,32.6010112,-86.6807365
"AL","Alabama","1961",62.33,32.6010112,-86.6807365
"AL","Alabama","1962",63.37,32.6010112,-86.6807365
"AL","Alabama","1963",62.11,32.6010112,-86.6807365
"AL","Alabama","1964",62.83,32.6010112,-86.6807365
"AL","Alabama","1965",63.43,32.6010112,-86.6807365
"AL","Alabama","1966",62.16,32.6010112,-86.6807365
"AL","Alabama","1967",62.49,32.6010112,-86.6807365
"AL","Alabama","1968",61.62,32.6010112,-86.6807365
"AL","Alabama","1969",61.99,32.6010112,-86.6807365
"AL","Alabama","1970",62.75,32.6010112,-86.6807365
"AL","Alabama","1971",63.37,32.6010112,-86.6807365
"AL","Alabama","1972",63.58,32.6010112,-86.6807365
"AL","Alabama","1973",63.63,32.6010112,-86.6807365
"AL","Alabama","1974",63.65,32.6010112,-86.6807365
"AL","Alabama","1975",63.43,32.6010112,-86.6807365
"AL","Alabama","1976",61.34,32.6010112,-86.6807365
"AL","Alabama","1977",63.15,32.6010112,-86.6807365
"AL","Alabama","1978",62.48,32.6010112,-86.6807365
"AL","Alabama","1979",61.98,32.6010112,-86.6807365
"AL","Alabama","1980",63.12,32.6010112,-86.6807365
"AL","Alabama","1981",62.65,32.6010112,-86.6807365
"AL","Alabama","1982",63.91,32.6010112,-86.6807365
"AL","Alabama","1983",61.73,32.6010112,-86.6807365
"AL","Alabama","1984",63.32,32.6010112,-86.6807365
"AL","Alabama","1985",63.39,32.6010112,-86.6807365
"AL","Alabama","1986",64.64,32.6010112,-86.6807365
"AL","Alabama","1987",63.48,32.6010112,-86.6807365
"AL","Alabama","1988",62.54,32.6010112,-86.6807365
"AL","Alabama","1989",62.68,32.6010112,-86.6807365
"AL","Alabama","1990",65.37,32.6010112,-86.6807365
"AL","Alabama","1991",64.47,32.6010112,-86.6807365
"AL","Alabama","1992",62.67,32.6010112,-86.6807365
"AL","Alabama","1993",62.83,32.6010112,-86.6807365
"AL","Alabama","1994",63.53,32.6010112,-86.6807365
"AL","Alabama","1995",63.57,32.6010112,-86.6807365
"AL","Alabama","1996",62.72,32.6010112,-86.6807365
"AL","Alabama","1997",63.06,32.6010112,-86.6807365
"AL","Alabama","1998",65.82,32.6010112,-86.6807365
"AL","Alabama","1999",64.89,32.6010112,-86.6807365
"AL","Alabama","2000",64.24,32.6010112,-86.6807365
"AL","Alabama","2001",63.82,32.6010112,-86.6807365
"AL","Alabama","2002",64.44,32.6010112,-86.6807365
